unit,vehicle,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
NR,MOP,SI	2 	4 	3 	1 	2 	4 	3 	2 	7 	3 	8 	12 	12 	5 	5 	4 	5 	16 	22 	: 
NR,MOP,UK	8 	3 	8 	8 	6 	4 	12 	10 	10 	16 	21 	18 	29 	23 	26 	25 	21 	14 	15 	17 
NR,MOTO_2WH,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	48 	67 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_2WH,FI	24 	13 	17 	20 	17 	24 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_2WH,HR	55 	: 	38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_2WH,IT	687 	735 	657 	773 	704 	728 	847 	923 	950 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_2WH,LV	1 	0 	4 	3 	2 	4 	2 	3 	7 	5 	8 	: 	: 	9 	21 	: 	: 	: 	: 	: 
NR,MOTO_2WH,MT	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_2WH,PT	: 	: 	: 	: 	: 	: 	: 	28 	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_2WH,SI	16 	25 	22 	25 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_2WH,UK	13 	11 	4 	6 	17 	0 	0 	4 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_GT125,BE	66 	57 	63 	85 	63 	83 	: 	: 	89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_GT125,BG	4 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_GT125,CH	42 	44 	37 	51 	43 	36 	61 	50 	58 	58 	65 	61 	47 	59 	80 	73 	58 	59 	: 	: 
NR,MOTO_GT125,DE	537 	514 	460 	570 	514 	519 	523 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_GT125,ES	302 	322 	300 	228 	193 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_GT125,FR	522 	589 	531 	526 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_GT125,IS	0 	1 	2 	1 	0 	1 	0 	0 	1 	2 	1 	3 	3 	0 	1 	0 	0 	: 	: 	: 
NR,MOTO_GT125,LU	9 	6 	3 	4 	8 	8 	5 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_GT125,LV	2 	1 	6 	4 	5 	4 	5 	2 	9 	2 	6 	: 	: 	2 	: 	: 	: 	: 	: 	: 
NR,MOTO_GT125,MT	4 	2 	8 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MOTO_GT125,NO	: 	18 	19 	20 	16 	19 	15 	12 	24 	19 	28 	28 	32 	25 	29 	26 	30 	25 	: 	: 
NR,MOTO_GT125,PT	: 	85 	47 	61 	68 	57 	: 	88 	91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
